VOTACIO,ELECCIO,ANY_VOTACIO,DISTRICTE,CODI_BARRI,NOM_BARRI,PARTIT,NOM_PARTIT,VOTS
M,Eleccions Municipals                    ,2007,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,57
M,Eleccions Municipals                    ,2007,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,CIU            ,CONVERGÈNCIA I UNIÓ                               ,325
M,Eleccions Municipals                    ,2007,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,CUP - CAV      ,CANDIDATURA D UNITAT POPULAR - CAV                ,32
M,Eleccions Municipals                    ,2007,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,ESQUERRA-AM    ,ESQUERRA REPUBLICANA DE CATALUNYA - ACORD MUN.    ,155
M,Eleccions Municipals                    ,2007,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,ICV-EUIA-EPM   ,INICIATIVA PER CATALUNYA VERDS - EUiA-EPM         ,167
M,Eleccions Municipals                    ,2007,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,PFIV           ,FAMÍLIA I VIDA                                    ,3
M,Eleccions Municipals                    ,2007,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,PP             ,PARTIDO POPULAR / PARTIT POPULAR                  ,152
M,Eleccions Municipals                    ,2007,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,PSC-PM         ,PARTIT DELS SOCIALISTES DE CATALUNYA - PROGÉS MUN.,716
M,Eleccions Municipals                    ,2007,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,RC             ,PARTIT REPUBLICÀ CATALÀ                           ,5
M,Eleccions Municipals                    ,2007,1,16,CEMENTIRI VELL                          ,C S            ,CIUTADANS - PARTIDO DE LA CIUDADANIA              ,84
M,Eleccions Municipals                    ,2007,1,16,CEMENTIRI VELL                          ,CIU            ,CONVERGÈNCIA I UNIÓ                               ,384
