VOTACIO,TITOL,ANY_VOTACIO,DISTRICTE,CODI_BARRI,NOM_BARRI,NUM_ELECTORS,NUM_VOTANTS,VOTS_BLANCS,VOTS_NULS,VOTS_CANDIDATURES
M,Eleccions Municipals                    ,2007,3,1,CAN PARELLADA                           ,4459,1589,15,10,1564
M,Eleccions Municipals                    ,2007,3,2,LES FONTS                               ,1505,686,28,3,655
M,Eleccions Municipals                    ,2007,3,3,CAN JOFRESA                             ,1696,737,12,4,721
M,Eleccions Municipals                    ,2007,3,4,GUADALHORCE                             ,933,369,10,2,357
M,Eleccions Municipals                    ,2007,3,5,CAN PALET II                            ,651,310,4,1,305
M,Eleccions Municipals                    ,2007,3,6,XUQUER                                  ,824,352,7,0,345
M,Eleccions Municipals                    ,2007,2,7,MONTSERRAT                              ,712,324,11,3,310
M,Eleccions Municipals                    ,2007,2,8,VILARDELL                               ,652,224,1,1,222
M,Eleccions Municipals                    ,2007,2,9,TORRE-SANA                              ,2682,962,33,1,928
M,Eleccions Municipals                    ,2007,6,10,LES ARENES - LA GRIPIA - CAN MONTLLOR   ,9802,3532,69,18,3445
M,Eleccions Municipals                    ,2007,6,11,SANT LLORENC                            ,3287,1347,27,6,1314
M,Eleccions Municipals                    ,2007,6,12,SANT PERE NORD                          ,10558,4562,108,20,4434
M,Eleccions Municipals                    ,2007,6,13,EGARA                                   ,2733,1089,22,3,1064
M,Eleccions Municipals                    ,2007,2,14,CA N ANGLADA                            ,7436,3368,72,22,3274
M,Eleccions Municipals                    ,2007,1,15,PL. CATALUNYA - ESC. INDUSTRIAL         ,3601,1677,60,5,1612
M,Eleccions Municipals                    ,2007,1,16,CEMENTIRI VELL                          ,4378,2110,80,10,2020
M,Eleccions Municipals                    ,2007,1,17,CENTRE                                  ,14594,6785,267,29,6489
M,Eleccions Municipals                    ,2007,1,18,VALLPARADIS                             ,3427,1749,87,11,1651
M,Eleccions Municipals                    ,2007,1,19,ANTIC POBLE DE SANT PERE                ,402,225,6,2,217
M,Eleccions Municipals                    ,2007,5,20,SANT PERE                               ,9063,4586,199,23,4364
M,Eleccions Municipals                    ,2007,6,21,CAN TUSELL                              ,2161,736,15,2,719
M,Eleccions Municipals                    ,2007,5,22,PLA DEL BON AIRE                        ,2251,981,17,4,960
M,Eleccions Municipals                    ,2007,5,23,CAN ROCA                                ,2009,845,19,2,824
M,Eleccions Municipals                    ,2007,5,24,POBLE NOU - ZONA ESPORTIVA              ,8656,3589,117,17,3455
M,Eleccions Municipals                    ,2007,5,25,PERE PARRES                             ,5176,2435,107,10,2318
M,Eleccions Municipals                    ,2007,5,26,CAN BOADA CASC ANTIC                    ,4524,2132,42,4,2086
M,Eleccions Municipals                    ,2007,4,27,CA N AURELL                             ,13487,7043,287,30,6726
M,Eleccions Municipals                    ,2007,4,28,LA MAURINA                              ,4969,2190,52,8,2130
M,Eleccions Municipals                    ,2007,4,29,LA COGULLADA                            ,3709,1552,46,5,1501
M,Eleccions Municipals                    ,2007,3,30,SEGLE XX                                ,3847,1794,87,4,1703
M,Eleccions Municipals                    ,2007,3,31,CAN PALET                               ,8506,3614,99,37,3478
M,Eleccions Municipals                    ,2007,4,32,ROC BLANC                               ,3704,1510,36,8,1466
M,Eleccions Municipals                    ,2007,5,41,CAN BOADA DEL PI                        ,1495,588,12,0,576
M,Eleccions Municipals                    ,2007,4,43,CAN PALET DE VISTA ALEGRE               ,1243,462,17,0,445
M,Eleccions Municipals                    ,2011,3,1,CAN PARELLADA                           ,4367,1759,66,20,1673
M,Eleccions Municipals                    ,2011,3,2,LES FONTS                               ,1816,769,43,10,716
